 station@hdr_integer longitude@hdr:real latitude@hdr:real elevation@hdr:real ntot@body:integer n_good_years@body:integer
314740  133.2670   51.6330  384.0000  45005 32
311370  131.1330   56.2830  850.0000  46702 34
249660  134.4500   60.3830  170.0000  48494 34
914130  138.0830    9.4830   13.4000  49575 34
476750  139.3670   34.7500   75.5000  49342 34
476710  139.7800   35.5520   10.7000  49486 34
319090  136.6000   45.0000   68.0000  48745 34
317350  135.1880   48.5280   75.0000  49230 34
314180  135.8000   52.2830  201.0000  47730 34
912120  144.8000   13.4830   77.4000  49431 34
479810  141.3230   24.7840  115.2000  46800 34
479710  142.1830   27.0830    7.9000  49301 34
476860  140.3860   35.7650   43.0000  49479 34
474250  141.6920   42.7750   25.0000  49547 34
321500  142.7180   46.8890   18.0000  49341 34
320610  142.1670   50.9000   31.0000  48990 34
310880  143.2000   59.3670    6.0000  47914 34
249880  142.3330   60.0830  198.0000  45983 34
321650  145.8670   44.0170   49.0000  48706 34
219460  147.8830   70.6170   61.0000  47210 34
947670  151.1770  -33.9460    6.4000  47375 34
945780  153.0670  -27.4170    6.0000  47778 34
913340  151.8500    7.4670    1.5000  43424 18
479910  153.9790   24.2900    6.7000  48602 34
259130  150.7200   59.9110  175.0000  46958 34
257030  152.4170   62.9170  205.0000  48565 34
254000  150.9000   65.7330   43.0000  47989 34
325090  159.9830   54.1170   27.0000  44642 23
324080  162.7170   56.2170   27.0000  44048 23
251230  161.2830   68.7500   28.0000  44101 23
915900  166.2130  -22.0150   15.8000  46251 32
915580  168.3000  -17.7500   18.0000  47154 34
934360  174.8050  -41.3270   12.5000  47448 34
255510  170.4170   64.6830   26.0000  46887 24
916800  177.4430  -17.7550   18.0000  49131 34
916430  179.2170   -8.5170    2.1000  45023 23
255630  177.7410   64.7350   59.1000  48181 34
